avAmplitudeForEachCell,FadPlusorMinus,MouseID,cohortID
16.7214375,1,5507,0
18.142365,1,5507,0
5.362956,1,5507,0
9.71356275,1,5507,0
5.8918465,1,5507,0
9.70613842857143,1,5507,0
5.364361875,1,5507,0
11.14132,1,5507,0
9.723069,1,5507,0
16.9481133333333,1,5507,0
11.62713,1,5507,0
22.9351671428571,1,5507,0
12.45852,1,5507,0
14.58759,1,5507,0
11.66204,1,5507,0
8.701417,1,5507,0
7.440562,1,5507,0
11.74492,1,5507,0
5.82638666666667,1,5507,0
5.10748875,1,5507,0
14.8643183333333,1,5507,0
11.84844625,1,5507,0
5.74454233333333,1,5507,0
7.7352305,1,5507,0
21.62033,1,5507,0
16.543205,1,5507,0
4.81198267741935,1,5507,0
8.703695,1,5507,0
12.2975068709677,1,5507,0
15.67851,1,5507,0
12.5818403333333,1,5507,0
7.576318,1,5507,0
13.49215,1,5507,0
7.727856,1,5507,0
4.23351824409449,1,5507,0
5.69755162962963,1,5507,0
6.088988,1,5507,0
22.035035,1,5507,0
30.0992966666667,1,5507,0
18.6158618181818,1,5507,0
12.95714,1,5507,0
16.2743233333333,1,5507,0
19.4077122727273,1,5507,0
7.89543366666667,1,5507,0
6.1848856,1,5507,0
6.690564,1,5507,0
14.074555,1,5507,0
5.49887475,1,5507,0
5.058927,1,5507,0
11.35053,1,5507,0
13.09331,1,5507,0
31.35707,1,5507,0
12.6430003421053,1,5507,0
15.0610646153846,1,5507,0
5.3282295,1,5507,0
10.8422141428571,1,5507,0
7.03965,1,5507,0
5.87359983333333,1,5507,0
6.465131,1,5507,0
5.52497528571428,1,5507,0
11.940109,1,5507,0
5.88907,1,5507,0
12.668855,1,5507,0
22.1107392,1,5507,0
9.42672,1,5507,0
12.5867605263158,1,5507,0
20.628572,1,5507,0
13.8151614285714,1,5507,0
5.79153028571429,1,5507,0
8.089629,1,5507,0
6.126859375,1,5507,0
39.64364,1,5507,0
9.011091,1,5507,0
6.108586,1,5507,0
12.743315,1,5507,0
14.74739,1,5507,0
7.339754,1,5507,0
6.3275375,1,5507,0
8.73398625,1,5507,0
9.10845075,1,5507,0
12.72983,1,5507,0
7.2823025,1,5507,0
7.866503,1,5507,0
4.94511622222222,1,5507,0
40.3765133333333,1,5507,0
10.125317,1,5507,0
16.6009025,1,5507,0
11.6019197619048,1,5507,0
15.8268172,1,5507,0
19.163298,1,5507,0
5.5713205,1,5507,0
9.53975533333333,1,5507,0
8.809289,1,5507,0
6.9738775,1,5507,0
8.086718,1,5507,0
8.53018,1,5507,0
6.042023,1,5507,0
15.9303155555556,1,5507,0
6.8990709,1,5507,0
15.55602,1,5507,0
13.7356266666667,1,5507,0
8.64045233333333,1,5507,0
11.394945,1,5507,0
6.1617275,1,5507,0
8.0286775,1,5507,0
10.933563375,1,5507,0
30.5532985714286,1,5507,0
13.7791560833333,1,5507,0
7.27403835294118,1,5507,0
18.9801025555556,1,5507,0
17.1354066666667,1,5507,0
12.572546625,1,5507,0
8.387602,1,5507,0
26.3891744285714,1,5507,0
16.6340666666667,1,5507,0
14.06776,1,5507,0
8.352024,1,5507,0
12.998777,1,5507,0
9.1424298,1,5507,0
14.17109,1,5507,0
6.294194,1,5507,0
6.84500342857143,1,5507,0
33.07586,1,5507,0
13.0547333333333,1,5507,0
26.760472,1,5507,0
19.6876646153846,1,5507,0
5.44256335714286,1,5507,0
4.90698152941177,1,5507,0
5.52114961111111,1,5507,0
8.524741,1,5507,0
4.72210461290323,1,5507,0
4.9448617755102,1,5507,0
7.87985,1,5507,0
16.2705,1,5507,0
13.069345,1,5507,0
17.7376994444444,1,5507,0
16.275684,1,5507,0
15.595586,1,5507,0
10.8151272857143,1,5507,0
18.5956014285714,1,5507,0
6.93476525,1,5507,0
12.3063598421053,1,5507,0
12.19375675,1,5507,0
10.8035290833333,1,5507,0
18.17869,1,5507,0
12.5182,1,5507,0
7.654539,1,5507,0
16.97301,1,5507,0
8.2323744,1,5507,0
15.0565385714286,1,5507,0
11.7952148333333,1,5507,0
9.124893,1,5507,0
19.0367733333333,1,5507,0
12.5132485454545,1,5507,0
10.25938,1,5507,0
15.97038,1,5507,0
32.25445,1,5507,0
7.395287,1,5507,0
7.00782475,1,5507,0
15.3243291666667,1,5507,0
8.433343875,1,5507,0
11.3705368333333,1,5507,0
5.26028626666667,1,5507,0
5.53415175,1,5507,0
4.92595904347826,1,5507,0
10.1979,1,5507,0
5.34126171428571,1,5507,0
5.40509633333333,1,5507,0
6.4020345,1,5507,0
11.1949233333333,1,5507,0
42.57716,1,5507,0
22.157765,1,5507,0
6.60942366666667,1,5507,0
7.855356,1,5507,0
13.714365,1,5507,0
11.80004,1,5507,0
18.9467538518519,1,5507,0
7.330467,1,5507,0
15.3957116666667,1,5507,0
8.7398005,1,5507,0
9.98442033333333,1,5507,0
13.346555,1,5507,0
7.5978395,1,5507,0
9.422709,1,5507,0
4.79580662068965,1,5507,0
12.1514591666667,1,5507,0
9.66124333333333,1,5507,0
6.80421628571429,1,5507,0
7.221763,1,5507,0
7.40377,1,5507,0
10.1236555,1,5507,0
7.41592766666667,1,5507,0
10.35683,1,5507,0
9.49608416666667,1,5507,0
9.396272125,1,5507,0
9.8926755,1,5507,0
10.7586577419355,1,5507,0
17.94883125,1,5507,0
12.0394103333333,1,5507,0
5.73544,1,5507,0
36.58814,1,5507,0
45.29701375,1,5507,0
60.9980033333333,1,5507,0
47.18457,1,5507,0
46.90648,1,5507,0
37.721404,1,5507,0
45.71611,1,5507,0
17.4951,1,5507,0
82.714796,1,5507,0
28.58538,1,5507,0
52.037015,1,5507,0
51.21303,1,5507,0
68.16216,1,5507,0
41.61446,1,5507,0
27.2540325,1,5507,0
24.421445,1,5507,0
32.4360066666667,1,5507,0
135.4873,1,5507,0
45.8704485714286,1,5507,0
46.635535,1,5507,0
49.63903,1,5507,0
66.95155,1,5507,0
62.061935,1,5507,0
36.40537,1,5507,0
39.3906366666667,1,5507,0
31.83939,1,5507,0
32.84452,1,5507,0
28.53766,1,5507,0
27.80178,1,5507,0
40.0191933333333,1,5507,0
74.949165,1,5507,0
40.1976784210526,1,5507,0
18.675064,1,5511,0
14.42924,1,5511,0
10.56156,1,5511,0
10.2143208333333,1,5511,0
17.8987,1,5511,0
36.52998,1,5511,0
16.6807435,1,5511,0
7.795394,1,5511,0
34.069748,1,5511,0
11.612548,1,5511,0
17.2193266666667,1,5511,0
18.64388,1,5511,0
22.3015157,1,5511,0
16.0792326,1,5511,0
16.3361616666667,1,5511,0
20.1698385416667,1,5511,0
16.0073382666667,1,5511,0
20.4183277333333,1,5511,0
14.0943925333333,1,5511,0
11.9342304285714,1,5511,0
28.3293133333333,1,5511,0
12.0671033333333,1,5511,0
10.1260285,1,5511,0
27.5780627272727,1,5511,0
13.8129283333333,1,5511,0
14.39279,1,5511,0
8.356205,1,5511,0
50.1052333333333,1,5511,0
15.6925966666667,1,5511,0
17.78027,1,5511,0
12.93213,1,5511,0
14.48691,1,5511,0
24.583966,1,5511,0
33.35535,1,5511,0
10.7365557777778,1,5511,0
16.6289,1,5511,0
18.746326,1,5511,0
39.04592,1,5511,0
13.690565,1,5511,0
14.024645,1,5511,0
11.406047,1,5511,0
23.4124966666667,1,5511,0
15.29842625,1,5511,0
8.60383,1,5511,0
14.3056456363636,1,5511,0
28.6889932258065,1,5511,0
16.3916783333333,1,5511,0
20.9680596428571,1,5511,0
7.56621475,1,5511,0
6.752669,1,5511,0
8.01281166666667,1,5511,0
4.81451025,1,5511,0
4.65523490909091,1,5511,0
9.4981772,1,5511,0
10.28387,1,5511,0
10.90664375,1,5511,0
22.2207,1,5511,0
12.79432,1,5511,0
18.8362494736842,1,5511,0
13.39568,1,5511,0
28.65728,1,5511,0
15.989827826087,1,5511,0
27.3370126666667,1,5511,0
16.17259,1,5511,0
7.495945,1,5511,0
11.1970000789474,1,5511,0
7.67049225,1,5511,0
18.2662464444444,1,5511,0
6.54109918181818,1,5511,0
6.6953712,1,5511,0
8.27784128571429,1,5511,0
7.2100665,1,5511,0
5.26625578947369,1,5511,0
5.1394114,1,5511,0
11.183595,1,5511,0
6.01977463636364,1,5511,0
8.63773633333333,1,5511,0
12.8546902,1,5511,0
35.16184375,1,5511,0
16.90241,1,5511,0
23.40562,1,5511,0
4.98911390909091,1,5511,0
18.2949125,1,5511,0
17.38116,1,5511,0
5.8431573,1,5511,0
12.185498,1,5511,0
18.868665,1,5511,0
15.1577833333333,1,5511,0
10.79069,1,5511,0
19.08205,1,5511,0
10.0671253529412,1,5511,0
28.08337,1,5511,0
14.40922,1,5511,0
13.53892,1,5511,0
84.8161071428571,1,5511,0
47.6879,1,5511,0
71.9590371428572,1,5511,0
35.37902,1,5511,0
83.7168227272727,1,5511,0
25.4812277083333,1,5511,0
59.0719545,1,5511,0
85.965124,1,5511,0
29.50997,1,5511,0
38.6507148,1,5511,0
39.1043383333333,1,5511,0
30.64492,1,5511,0
49.1919036363636,1,5511,0
54.070118,1,5511,0
76.9206253846154,1,5511,0
36.3307,1,5511,0
42.7685,1,5511,0
50.353684,1,5511,0
39.7622814285714,1,5511,0
93.468885,1,5511,0
84.4393742857143,1,5511,0
64.8121664,1,5511,0
39.96487,1,5511,0
62.212650625,1,5511,0
98.84252375,1,5511,0
61.62764,1,5511,0
61.6890992307692,1,5511,0
12.9314503333333,1,6025,1
16.703065,1,6025,1
6.3263815,1,6025,1
10.58422,1,6025,1
12.1704466666667,1,6025,1
31.525095,1,6025,1
13.20083,1,6025,1
6.5752344,1,6025,1
8.31067,1,6025,1
16.53421,1,6025,1
15.2477466666667,1,6025,1
19.855525,1,6025,1
75.2159131578947,1,6025,1
47.482497,1,6025,1
37.6061773333333,1,6025,1
10.1316734444444,1,6025,1
7.920635,1,6025,1
65.94683,1,6025,1
99.1680066666667,1,6025,1
14.4241616666667,1,6025,1
13.34542,1,6025,1
17.7408,1,6025,1
7.779725,1,6025,1
53.734769,1,6025,1
23.10273575,1,6025,1
7.104474375,1,6025,1
7.1368105,1,6025,1
6.44829735294118,1,6025,1
5.84565590909091,1,6025,1
8.12305757142857,1,6025,1
131.8905,1,6025,1
10.78728,1,6025,1
8.728674,1,6025,1
4.94408787037037,1,6025,1
13.191645,1,6025,1
21.1755,1,6025,1
17.1063733333333,1,6025,1
45.7566793333333,1,6025,1
23.3166533333333,1,6025,1
7.160062,1,6025,1
5.17583371428571,1,6025,1
7.620185,1,6025,1
61.1580433333333,1,6025,1
13.6812833333333,1,6025,1
7.553163,1,6025,1
29.40375,1,6025,1
16.89442,1,6025,1
34.891435,1,6025,1
9.969955,1,6025,1
13.26258,1,6025,1
9.0061805,1,6025,1
6.146028,1,6025,1
35.0085,1,6025,1
121.26594,1,6025,1
22.4681,1,6025,1
87.42374875,1,6025,1
7.9304375,1,6025,1
12.7601,1,6025,1
7.23195266666667,1,6025,1
22.55619,1,6025,1
18.8263866666667,1,6025,1
14.79992,1,6025,1
18.5096011111111,1,6025,1
48.4316415,1,6025,1
8.803749,1,6025,1
7.71540475,1,6025,1
15.79559,1,6025,1
6.02940686956522,1,6025,1
5.66940933333333,1,6025,1
5.59266972727273,1,6025,1
5.06473529032258,1,6025,1
56.84351,1,6025,1
9.17171833333333,1,6025,1
11.85019,1,6025,1
7.0511946,1,6025,1
7.2368135,1,6025,1
5.559199875,1,6025,1
56.2852416666667,1,6025,1
7.39510366666667,1,6025,1
90.14205,1,6025,1
7.491333,1,6025,1
17.739594,1,6025,1
59.9018466666667,1,6025,1
19.937905,1,6025,1
6.571084,1,6025,1
14.3757901666667,1,6025,1
43.973115,1,6025,1
88.409544,1,6025,1
56.8776,1,6025,1
68.2087525,1,6025,1
78.22686,1,6025,1
79.3029516666667,1,6025,1
27.633108,1,6025,1
96.4207841176471,1,6025,1
36.4106633333333,1,6025,1
37.661332,1,6025,1
68.2293745454545,1,6025,1
26.658684,1,6025,1
18.63567,1,6025,1
70.1930564285714,1,6025,1
184.7616,1,6025,1
83.18808875,1,6025,1
111.339091818182,1,6025,1
218.884014285714,1,6025,1
114.506058,1,6025,1
30.4429536363636,1,6025,1
16.1948766666667,1,6025,1
102.902403,1,6025,1
115.1705525,1,6025,1
61.272005,1,6025,1
35.210425,1,6025,1
50.4856833333333,1,6025,1
58.027732,1,6025,1
114.292051428571,1,6025,1
69.932455,1,6025,1
16.1401,1,6025,1
