stabilityAverage,FadPlusorMinus,MouseID,cohortID
0.785398163397448,1,5507,0
0.199334998215051,1,5507,0
-0.0923715072969916,1,5507,0
-0.0483843569874256,1,5507,0
-0.0332840818879119,1,5507,0
0.191344250395987,1,5507,0
0.0435098068964407,1,5507,0
0,1,5507,0
0,1,5507,0
0.392699081698724,1,5507,0
-0.0868150081666808,1,5507,0
0.459316012414003,1,5507,0
0,1,5507,0
-0.0501737013776048,1,5507,0
0,1,5507,0
0.038418469803416,1,5507,0
-0.0665681637758238,1,5507,0
0,1,5507,0
-0.106748646198927,1,5507,0
-0.0285406823881029,1,5507,0
0.216160228597708,1,5507,0
-0.110169251471319,1,5507,0
-0.128043678966908,1,5507,0
-0.0332840818879119,1,5507,0
0,1,5507,0
0,1,5507,0
0.0546066192358192,1,5507,0
0.00132812527382344,1,5507,0
0.533964592726322,1,5507,0
-0.0332840818879119,1,5507,0
0.785398163397448,1,5507,0
0.00149490859326079,1,5507,0
0,1,5507,0
-0.0665681637758238,1,5507,0
0.14967603693326,1,5507,0
0.256281633254926,1,5507,0
-0.00594426231791673,1,5507,0
0.392699081698724,1,5507,0
-0.0332840818879119,1,5507,0
0.349406110983782,1,5507,0
0,1,5507,0
0.392699081698724,1,5507,0
0.350023929599168,1,5507,0
-0.0819186819692054,1,5507,0
-0.0604275499788401,1,5507,0
0,1,5507,0
-0.0332840818879119,1,5507,0
0.785398163397448,1,5507,0
0.0655812830765609,1,5507,0
0,1,5507,0
0,1,5507,0
0,1,5507,0
0.468862188506743,1,5507,0
0.666016391944664,1,5507,0
-0.168169783930932,1,5507,0
0.76713040256849,1,5507,0
0,1,5507,0
-0.0840171353818351,1,5507,0
0,1,5507,0
-0.0763177030319281,1,5507,0
-0.0486346000812935,1,5507,0
0,1,5507,0
0,1,5507,0
0.405124297977941,1,5507,0
0.392699081698724,1,5507,0
0.0549482173472253,1,5507,0
-0.112561885666648,1,5507,0
0.146007162224024,1,5507,0
-0.0702493822481233,1,5507,0
0,1,5507,0
0.241905380874192,1,5507,0
-0.0332840818879119,1,5507,0
0.357699110739458,1,5507,0
-0.0332840818879119,1,5507,0
0.392699081698724,1,5507,0
-0.0332840818879119,1,5507,0
-0.0854708198125169,1,5507,0
0,1,5507,0
0.217811867998235,1,5507,0
-0.0358974284166323,1,5507,0
0.050760773929448,1,5507,0
0.0102928733769971,1,5507,0
0,1,5507,0
-0.107387299114379,1,5507,0
-0.0825379294150607,1,5507,0
0.089345659346625,1,5507,0
0.326941360345589,1,5507,0
0.73105903699978,1,5507,0
0.241550097492436,1,5507,0
0.361030633212062,1,5507,0
0.061844399543841,1,5507,0
0.0493571696120702,1,5507,0
0.392699081698724,1,5507,0
-0.0474439006455742,1,5507,0
0,1,5507,0
0,1,5507,0
0,1,5507,0
0.32770618999606,1,5507,0
0.451761036270867,1,5507,0
0,1,5507,0
-0.0518103365218389,1,5507,0
-0.0224955762159136,1,5507,0
0,1,5507,0
-0.0332840818879119,1,5507,0
-0.0332840818879119,1,5507,0
0.769527743774871,1,5507,0
0.394991773283861,1,5507,0
0.733322429094547,1,5507,0
0.43869809063308,1,5507,0
0.180465114790111,1,5507,0
-0.0332840818879119,1,5507,0
0.332282881201517,1,5507,0
-0.0332840818879119,1,5507,0
0.424178194881094,1,5507,0
-0.223764188588334,1,5507,0
-0.0665681637758238,1,5507,0
-0.0971393804587382,1,5507,0
0,1,5507,0
0.0971765335165295,1,5507,0
-0.069467838625858,1,5507,0
0,1,5507,0
0.437804477863145,1,5507,0
-0.141915523984979,1,5507,0
0.302781602859575,1,5507,0
0.250992319820962,1,5507,0
0.0795716267574018,1,5507,0
-0.209682837332057,1,5507,0
0.0437465930494525,1,5507,0
0.0936314870416996,1,5507,0
-0.0529180722341459,1,5507,0
0.303351512069999,1,5507,0
