sparsity,FadPlusorMinus,MouseID,cohortID
0.482258870564718,1,5507,0
0.210664844072137,1,5507,0
0.258390302413573,1,5507,0
0.192049558900407,1,5507,0
0.109660588833207,1,5507,0
0.354002900202045,1,5507,0
0.383279949064655,1,5507,0
0.482258870564718,1,5507,0
0.160982154921953,1,5507,0
0.226421783120895,1,5507,0
0.106461051469339,1,5507,0
0.43893844771233,1,5507,0
0.504067107269954,1,5507,0
0.20514366431431,1,5507,0
0.074224707676665,1,5507,0
0.244759173221218,1,5507,0
0.0662568903871981,1,5507,0
0.482258870564718,1,5507,0
0.23598691442772,1,5507,0
0.207400244835085,1,5507,0
0.0702787994625946,1,5507,0
0.248818991968606,1,5507,0
0.164706607001727,1,5507,0
0.312255513368496,1,5507,0
0.504067107269954,1,5507,0
0.0707395854297934,1,5507,0
0.145919613914498,1,5507,0
0.164350738690552,1,5507,0
0.0924879488502094,1,5507,0
0.493108723218853,1,5507,0
0.504067107269954,1,5507,0
0.234254848292304,1,5507,0
0.504067107269954,1,5507,0
0.136293766466364,1,5507,0
0.263357093036241,1,5507,0
0.25729065024803,1,5507,0
0.329762848900383,1,5507,0
0.482258870564718,1,5507,0
0.214567973829578,1,5507,0
0.0770619737097261,1,5507,0
0.504067107269954,1,5507,0
0.482258870564718,1,5507,0
0.134503422918344,1,5507,0
0.17242241483144,1,5507,0
0.154561007034997,1,5507,0
0.063968015992004,1,5507,0
0.493108723218853,1,5507,0
0.482258870564718,1,5507,0
0.445194334260399,1,5507,0
0.504067107269954,1,5507,0
0.0788002033553635,1,5507,0
0.0742128935532234,1,5507,0
0.470038277488564,1,5507,0
0.0764384328592383,1,5507,0
0.303575875754202,1,5507,0
0.503471960462635,1,5507,0
0.0687156421789105,1,5507,0
0.23190523063752,1,5507,0
0.482258870564718,1,5507,0
0.274052254407662,1,5507,0
0.15359095787933,1,5507,0
0.484420236052636,1,5507,0
0.071358551493484,1,5507,0
0.0747819192991155,1,5507,0
0.482258870564718,1,5507,0
0.393737945569847,1,5507,0
0.109981054788318,1,5507,0
0.0900993393139936,1,5507,0
0.255964153679253,1,5507,0
0.0782108945527236,1,5507,0
0.0869226806996877,1,5507,0
0.0855679251546441,1,5507,0
0.0699270374649056,1,5507,0
0.361144264567404,1,5507,0
0.482258870564718,1,5507,0
0.0687106717888795,1,5507,0
0.0834333144874269,1,5507,0
0.493108723218853,1,5507,0
0.0654744425604544,1,5507,0
0.0813874318986396,1,5507,0
0.281365954378986,1,5507,0
0.352426236137074,1,5507,0
0.0627859684799187,1,5507,0
0.195127315334529,1,5507,0
0.249934699120892,1,5507,0
0.167590140090406,1,5507,0
0.0556584525731844,1,5507,0
0.494145325700956,1,5507,0
0.0948562816326548,1,5507,0
0.0763581856690242,1,5507,0
0.384374056774667,1,5507,0
0.226421783120895,1,5507,0
0.0627859684799187,1,5507,0
0.0720235501520085,1,5507,0
