File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Distance_px
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,0,860.0181359456155,108.6164235821802,0.0
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,1,778.3067356123398,111.52556549140553,81.76317050526394
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,2,741.9563187259242,114.46860575696425,36.46936102841545
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,3,700.0954575679641,115.91472956855516,41.885832580533304
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,4,649.0621846737182,124.67577810698906,51.77983114873365
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,5,601.9465335176684,125.44136870568504,47.1218708544492
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,6,551.2407924972509,128.8590644119886,50.82079118205985
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,7,449.9842930939537,124.88261836391318,101.33454886949066
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,8,416.625840557035,135.39290011598874,34.975025063119936
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,9,394.9560602015557,137.08592179318836,21.735816134992138
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,10,381.923092981344,138.47496921306094,13.106780203305775
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,11,348.3631033866406,151.37057691701102,35.95232398122235
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,12,306.79474470411964,157.31023161590002,41.99056967344871
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,13,272.0032121700121,151.92549030885144,35.20576905871677
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,14,268.8430308279601,153.7802435868647,3.664267435239214
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,15,271.95912349943285,159.80856125187972,6.786062732360956
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,16,270.78355334353535,147.75945948522858,12.106313170183261
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,17,269.4958686122871,153.06778975965867,5.462279951588065
WIN_20240517_6041.mp4,99.0,False,0.8,200.0,356.0,18,258.4734872640947,153.2727532678058,11.024286853336694
