stabilityOddEven,FadPlusorMinus,MouseID,cohortID
-0.0870482946238594,1,6025,0
-0.0585015515113945,1,6025,0
-0.165018432631581,1,6025,0
0,1,6025,0
0,1,6025,0
-0.153681626401903,1,6025,0
-0.0665681637758238,1,6025,0
0.0350915038639292,1,6025,0
0,1,6025,0
-0.323287622625905,1,6025,0
-0.122462871685537,1,6025,0
-0.318827419358241,1,6025,0
0.785397747564154,1,6025,0
-0.14104096885024,1,6025,0
-0.141237643329129,1,6025,0
0.14522036304083,1,6025,0
-0.107540740741073,1,6025,0
-0.105851959930995,1,6025,0
-0.0629588509915131,1,6025,0
-0.149538345208787,1,6025,0
0,1,6025,0
-0.375259799867715,1,6025,0
-0.239916127264438,1,6025,0
0,1,6025,0
0.148635739920359,1,6025,0
0.0859201592075093,1,6025,0
-0.19868193132424,1,6025,0
0.0215059688314613,1,6025,0
0.499324110998427,1,6025,0
0,1,6025,0
-0.144551752574228,1,6025,0
0.0923631823042224,1,6025,0
0.0702528939361853,1,6025,0
-0.207445827877468,1,6025,0
-0.198495190670728,1,6025,0
0.247117113862618,1,6025,0
0,1,6025,0
-0.15820510883223,1,6025,0
0,1,6025,0
-0.145863723379817,1,6025,0
0,1,6025,0
0,1,6025,0
0,1,6025,0
-0.0665681637758238,1,6025,0
0.327529102779164,1,6025,0
0,1,6025,0
0.562637673202601,1,6025,0
0.0819443552302467,1,6025,0
-0.263022967276946,1,6025,0
0.208738218480062,1,6025,0
0.00548004575755035,1,6025,0
0.785398163397448,1,6025,0
-0.287667386377224,1,6025,0
-0.00806788500157302,1,6025,0
-0.149899197120797,1,6025,0
-0.208597979445267,1,6025,0
-0.170797267899613,1,6025,0
0.231061465905277,1,6025,0
-0.247903293499176,1,6025,0
0.392361163935724,1,6025,0
0.785398163397448,1,6025,0
-0.359080434756321,1,6025,0
0.465411395929735,1,6025,0
0.0417024201914016,1,6025,0
-0.107243391125464,1,6025,0
-0.0654614606115832,1,6025,0
0.0261046874231448,1,6025,0
0.110841841147052,1,6025,0
-0.0972773070579636,1,6025,0
0.313159353300689,1,6025,0
-0.0665681637758238,1,6025,0
0,1,6025,0
0.692590715951494,1,6025,0
-0.0951449108123644,1,6025,0
0.00751301438979806,1,6025,0
0.0747444028984355,1,6025,0
-0.0681366422634082,1,6025,0
-0.0665681637758238,1,6025,0
0.279057196339275,1,6025,0
0.265618320470128,1,6025,0
0.785398163397448,1,6025,0
-0.0639618504025085,1,6025,0
0,1,6025,0
0,1,6025,0
0.166023559124327,1,6025,0
0.0382330148953348,1,6025,0
0.227062400392573,1,6025,0
-0.17351402003808,1,6025,0
-0.110377558398743,1,6025,0
-0.16021012827066,1,6025,0
0.408627593473806,1,6025,0
-0.224134660771329,1,6025,0
-0.0574250426808629,1,6025,0
-0.0733666832003298,1,6025,0
-0.0532425486782951,1,6025,0
0.643454696182128,1,6025,0
-0.0728174839948475,1,6025,0
0,1,6025,0
-0.114472757722722,1,6025,0
-0.256063438115072,1,6025,0
-0.0814817498672109,1,6025,0
0,1,6025,0
0,1,6025,0
-0.148993506817175,1,6025,0
-0.125445778513701,1,6025,0
-0.0268493900043547,1,6025,0
-0.0773601485456349,1,6026,0
-0.0785109595092644,1,6026,0
0.575042070522427,1,6026,0
0.466266786541428,1,6026,0
0.669968872874598,1,6026,0
0.497281719959114,1,6026,0
0.300783882184482,1,6026,0
-0.290858235062801,1,6027,0
-0.14670100075296,1,6027,0
0,1,6027,0
-0.242579338639781,1,6027,0
-0.24439085649931,1,6027,0
-0.124913147608568,1,6027,0
0,1,6027,0
0.323067758260067,1,6027,0
-0.229890003903307,1,6027,0
0,1,6027,0
0.134533952501932,1,6027,0
