stability1v2,FadPlusorMinus,MouseID,cohortID
0.785398163397448,1,5507,0
0.48752301087822,1,5507,0
0,1,5507,0
0.360936606232727,1,5507,0
0.0347265272916222,1,5507,0
0,1,5507,0
0,1,5507,0
0,1,5507,0
0.133233861430558,1,5507,0
-0.173176427625781,1,5507,0
0,1,5507,0
0,1,5507,0
0.361807174855524,1,5507,0
0,1,5507,0
0.0117001371186665,1,5507,0
0.073461586622267,1,5507,0
0,1,5507,0
0.333347069102549,1,5507,0
-0.12085509995768,1,5507,0
0.0653110103258493,1,5507,0
0,1,5507,0
-0.0665681637758238,1,5511,0
0.029228411173403,1,5511,0
0.30330272897468,1,5511,0
0,1,5511,0
0,1,5511,0
0.363818694454239,1,5511,0
0.0912353260138953,1,5511,0
0.258093940986115,1,5511,0
-0.311319348424956,1,5511,0
-0.185281385724907,1,5511,0
0,1,5511,0
-0.0665681637758238,1,5511,0
-0.110117421440921,1,5511,0
0.785398163397448,1,5511,0
-0.0558216596840986,1,5511,0
-0.0879458054137822,1,6025,1
-0.0665681637758238,1,6025,1
-0.0804079646621905,1,6025,1
0,1,6025,1
-0.250290728792103,1,6025,1
0.561008187600974,1,6025,1
0,1,6025,1
-0.0886828566519053,1,6025,1
-0.148736488038933,1,6025,1
0,1,6025,1
0,1,6025,1
-0.0665681637758238,1,6025,1
-0.29304376037987,1,6025,1
0,1,6025,1
0,1,6025,1
0.225269526872017,1,6025,1
0,1,6025,1
0,1,6025,1
-0.160326140061504,1,6025,1
0.251183474270098,1,6025,1
-0.249909872182252,1,6025,1
-0.100649237233726,1,6026,1
0,1,6026,1
-0.123716713445091,1,6026,1
-0.0959051248542703,1,6026,1
0.52114073427812,1,6026,1
-0.310601394538839,1,6026,1
-0.16628712768823,1,6026,1
0.49244906302616,1,6026,1
0.170605852504678,1,6026,1
0.0545846919187735,1,6026,1
-0.0745156585420894,1,6026,1
-0.108593683724863,1,6026,1
0.361005588397783,1,6026,1
0.458210665262585,1,6026,1
-0.103992566335943,1,6026,1
0,1,6026,1
0.0448381137707189,1,6026,1
0,1,6026,1
-0.0665681637758238,1,6026,1
-0.0665681637758238,1,6026,1
-0.160880668905837,1,6026,1
-0.142052663106343,1,6026,1
-0.135828723643938,1,6026,1
-0.209616830346002,1,6026,1
0,1,6026,1
0.55789400540201,1,6026,1
-0.0950699431942676,1,6026,1
-0.280922141411848,1,6026,1
0.163842733024518,1,6026,1
-0.309090399737652,1,6026,1
-0.286933967842517,1,6026,1
-0.0692143312772167,1,6026,1
0,1,6027,1
0,1,6027,1
-0.095441189925015,1,6027,1
0.785398163397448,1,6027,1
0.216736326361656,1,6027,1
0.545443874384219,1,6027,1
0.0216514351889479,1,6027,1
-0.172197666995519,1,6027,1
0,1,6027,1
0,1,6027,1
0,1,6027,1
-0.0665681637758238,1,6027,1
-0.0524547216805605,1,6027,1
0.231255424005151,1,6027,1
0.256784536704083,1,6027,1
0,1,6027,1
0,1,6027,1
0.630321635855188,1,6027,1
-0.0814229687310987,1,6027,1
0.742382259770027,1,6027,1
0,1,6027,1
0,1,6027,1
0,1,6027,1
0,1,6027,1
-0.0665681637758238,1,6027,1
-0.107402855439775,1,6027,1
-0.0665681637758238,1,6027,1
0,1,6027,1
0,1,6027,1
0,1,6027,1
0.0253611144588123,1,6027,1
-0.0767510497210978,1,6027,1
0,1,6027,1
-0.44556135656688,1,6027,1
0,1,6027,1
-0.075304951662581,1,6027,1
0,1,6027,1
-0.101649401829826,1,6027,1
-0.121184158660851,1,6027,1
-0.112719704658643,1,6027,1
0.336296002638956,1,6027,1
0,1,6027,1
0,1,6027,1
0,1,6027,1
-0.0665681637758238,1,6028,1
0.105059109334345,1,6028,1
0.0326822598669309,1,6028,1
0.468599976754406,1,6028,1
0.0597956603703008,1,6028,1
0.785398163397448,1,6028,1
0.600047915207429,1,6028,1
-0.101574088864658,1,6028,1
0,1,6028,1
0,1,6028,1
0,1,6028,1
0.784429397372702,1,6028,1
0,1,6028,1
-0.00238653762208832,1,6028,1
-0.168891317365285,1,6028,1
0,1,6028,1
0.281598444419978,1,6028,1
0.563555453562116,1,6028,1
-0.0912194016252672,1,6029,1
0.775195913915615,1,6029,1
0.233060022367969,1,6029,1
0,1,6029,1
-0.0408257714014374,1,6029,1
0.67108136031127,1,6029,1
0.0113308892025881,1,6029,1
0,1,6029,1
0.376293019835554,1,6029,1
-0.137686209392906,1,6029,1
0.00743069288820804,1,6029,1
-0.131943060106055,1,6029,1
-0.218179573097373,1,6029,1
-0.101854683425658,1,6029,1
0.111414129368587,1,6029,1
0.785398163397448,1,6029,1
0.519865925802342,1,6029,1
-0.0919163021937819,1,6029,1
0,1,6029,1
-0.263734236692221,1,6029,1
0.0374031718513098,1,6029,1
0.766194151797765,1,6029,1
0.358378474323606,1,6029,1
0.523483448029735,1,6029,1
0.44425330729529,1,6029,1
0.0506244047752782,1,6029,1
-0.12596710588328,-1,6039,1
0.0387809222257479,-1,6039,1
0.369916676151585,-1,6039,1
-0.206597106344407,-1,6039,1
0.0896739664091485,-1,6039,1
-0.0665681637758238,-1,6041,1
0,-1,6041,1
0.080376494658516,-1,6041,1
0,-1,6041,1
-0.101593382386891,-1,6041,1
-0.0154359902775853,-1,6041,1
0.150977955175505,-1,6041,1
0,-1,6041,1
0,-1,6041,1
-0.0946654926417957,-1,6041,1
0.391503982724243,-1,6041,1
0,-1,6041,1
-0.147457884357827,-1,6041,1
0,-1,6041,1
0.000795419943453838,-1,6041,1
-0.0835020534540699,-1,6041,1
