avAmplitudeForEachCell,FadPlusorMinus,MouseID,cohortID
15.7656035,1,6025,0
45.13559,1,6025,0
18.196685,1,6025,0
31.3274588888889,1,6025,0
38.52798,1,6025,0
3.84033287878788,1,6025,0
38.631249047619,1,6025,0
13.2936777142857,1,6025,0
33.32663,1,6025,0
33.9836309230769,1,6025,0
11.961029,1,6025,0
7.82321211111111,1,6025,0
4.13643844594595,1,6025,0
17.63509,1,6025,0
6.375578,1,6025,0
10.1464867058824,1,6025,0
43.5210788888889,1,6025,0
8.77024382142857,1,6025,0
18.4501925,1,6025,0
13.8072925,1,6025,0
7.64191823529412,1,6025,0
14.0925551666667,1,6025,0
11.65241925,1,6025,0
72.4137874074074,1,6025,0
12.6666024285714,1,6025,0
6.30579692307692,1,6025,0
35.3961822222222,1,6025,0
14.8353864117647,1,6025,0
14.54114,1,6025,0
11.89553,1,6025,0
6.30424194594595,1,6025,0
7.151213,1,6025,0
13.5427,1,6025,0
9.03638566666667,1,6025,0
4.60228581395349,1,6025,0
10.1873785714286,1,6025,0
6.24985192,1,6025,0
6.05664870588235,1,6025,0
38.9257888235294,1,6025,0
5.19997107228916,1,6025,0
14.54261,1,6025,0
6.38015784615385,1,6025,0
12.47968,1,6025,0
4.14644147916667,1,6025,0
5.87673895,1,6025,0
12.2007,1,6025,0
4.8337274137931,1,6025,0
13.44508,1,6025,0
6.23072,1,6025,0
4.45354615384615,1,6025,0
4.40547184210526,1,6025,0
5.426114,1,6025,0
10.83227425,1,6025,0
16.14105,1,6025,0
4.30069885714286,1,6025,0
10.06436,1,6025,0
4.17611164912281,1,6025,0
22.95576,1,6025,0
12.52887,1,6025,0
6.854846,1,6025,0
7.1640545,1,6025,0
4.26229561904762,1,6025,0
5.23281,1,6025,0
7.408831,1,6025,0
11.675635,1,6025,0
8.22989728,1,6025,0
5.21900343396226,1,6025,0
8.6460710625,1,6025,0
14.9252004615385,1,6025,0
6.4564412,1,6025,0
3.80021815492958,1,6025,0
8.2147985,1,6025,0
7.44700641666667,1,6025,0
34.6751475,1,6025,0
14.5079734285714,1,6025,0
30.2460014285714,1,6025,0
10.5861877058824,1,6025,0
5.83690989473684,1,6025,0
5.42534666666667,1,6025,0
7.28832467741935,1,6025,0
7.208369,1,6025,0
4.67226016666667,1,6025,0
6.70406064285714,1,6025,0
28.714053,1,6025,0
9.86423740625,1,6025,0
9.980751,1,6025,0
14.9878123333333,1,6025,0
4.482476,1,6025,0
7.07151345454546,1,6025,0
4.97382296969697,1,6025,0
21.32538,1,6025,0
16.983572,1,6025,0
10.692605,1,6025,0
8.22715133333333,1,6025,0
9.99317233333333,1,6025,0
9.909481,1,6025,0
11.9706688,1,6025,0
5.0655436,1,6025,0
5.53509825,1,6025,0
6.6779195,1,6025,0
5.13622557142857,1,6025,0
4.353124,1,6025,0
22.2610057142857,1,6025,0
24.536295,1,6025,0
25.5372805882353,1,6025,0
13.5896416666667,1,6025,0
17.4018766666667,1,6025,0
40.161441,1,6025,0
13.7369445454545,1,6025,0
14.323256,1,6025,0
14.0092,1,6025,0
48.30471,1,6025,0
7.98859033333333,1,6025,0
6.79384522222222,1,6025,0
10.4177193333333,1,6025,0
5.9687195,1,6025,0
7.09239928571429,1,6025,0
7.81001313636364,1,6025,0
5.86126316,1,6025,0
6.27151161111111,1,6025,0
8.77810404166667,1,6025,0
9.13073146153846,1,6025,0
7.4287892,1,6025,0
10.7692569230769,1,6025,0
8.06597618181818,1,6025,0
7.40738375,1,6025,0
4.45031339285714,1,6025,0
5.854149625,1,6025,0
6.75982855555556,1,6025,0
7.40511271428571,1,6025,0
7.3426801,1,6025,0
5.935026625,1,6025,0
8.857206,1,6025,0
11.9001383333333,1,6025,0
5.5773602,1,6025,0
10.55456,1,6025,0
12.21455,1,6025,0
13.70917275,1,6025,0
6.13718366666667,1,6025,0
11.04198,1,6025,0
6.6437755,1,6025,0
4.75345603448276,1,6025,0
4.44311707692308,1,6025,0
4.83665966666667,1,6025,0
8.67806875,1,6025,0
4.79630252173913,1,6025,0
5.65724307142857,1,6025,0
7.305656,1,6025,0
11.21608,1,6025,0
72.9114480952381,1,6025,0
6.50250133333333,1,6025,0
14.20629,1,6025,0
8.566017,1,6025,0
14.8252566666667,1,6025,0
11.296601,1,6025,0
8.93807772222222,1,6025,0
10.5255345333333,1,6025,0
7.3424817,1,6025,0
7.132841,1,6025,0
11.383147,1,6025,0
8.609746,1,6025,0
8.38077066666667,1,6025,0
5.71124011111111,1,6025,0
7.242583,1,6025,0
4.71066726666667,1,6025,0
4.56647706060606,1,6025,0
14.1964066666667,1,6025,0
9.509959,1,6025,0
8.829920125,1,6025,0
7.66131,1,6025,0
11.5795722105263,1,6025,0
5.82797775,1,6025,0
9.13784972727273,1,6025,0
13.69082,1,6025,0
7.830653,1,6025,0
12.42358584,1,6025,0
18.4726309333333,1,6025,0
11.054348,1,6025,0
7.30968736363636,1,6025,0
9.9678598,1,6025,0
8.521294,1,6025,0
7.35625845454546,1,6025,0
9.93163905,1,6025,0
11.4290173333333,1,6025,0
75.2729044444444,1,6025,0
13.31246,1,6025,0
12.8155645,1,6025,0
11.54895,1,6025,0
3.93999263265306,1,6025,0
7.4980865,1,6025,0
5.8452025,1,6025,0
11.87412,1,6025,0
5.342177,1,6025,0
6.736737625,1,6025,0
5.9954144,1,6025,0
5.621980375,1,6025,0
4.55238976666667,1,6025,0
5.26399733333333,1,6025,0
6.785606,1,6025,0
10.1838036666667,1,6025,0
6.699816,1,6025,0
